key,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
fossil,100.0,95.7,89.3,87.7,89.3,89.7,82.8,79.3,77.5,71.0,69.5
gas,100.0,101.7,91.6,93.7,83.8,78.3,77.2,69.4,63.1,63.1,60.6
nuclear,100.0,100.2,94.5,97.0,96.0,92.9,92.3,92.5,91.1,88.3,87.2
oil,100.0,93.1,87.9,82.3,72.1,64.9,61.0,59.9,64.0,62.6,61.1
renewable,100.0,107.1,112.9,124.7,123.1,135.8,145.5,148.0,154.5,158.4,165.6
other,100.0,101.0,101.6,103.0,96.4,88.0,94.9,95.7,94.0,98.7,102.7
total,100.0,99.8,95.1,97.1,93.5,92.5,91.9,90.0,89.5,87.9,87.9
